name,date,followers,impressions,engagement_rate,num_videos,num_images,num_carousels
awesome_explorer_575,2022-06-09,25335,75763,0.0795,6,7,1
awesome_explorer_575,2022-06-27,25335,55238,0.0365,0,14,0
awesome_explorer_575,2022-07-24,25335,99826,0.1431,4,0,3
awesome_explorer_575,2022-09-17,25335,13180,0.1326,0,9,4
awesome_explorer_575,2023-02-12,25335,33402,0.0891,8,0,2
awesome_explorer_575,2023-02-16,25335,28990,0.0917,9,17,0
awesome_explorer_575,2023-12-04,25335,33441,0.0159,7,11,2
awesome_photographer_657,2022-01-11,14482,71507,0.1378,0,10,2
awesome_photographer_657,2022-03-10,14482,50688,0.1309,8,2,3
awesome_photographer_657,2022-04-05,14482,45327,0.1277,9,8,2
awesome_photographer_657,2022-05-10,14482,40915,0.0891,7,10,3
awesome_photographer_657,2022-09-11,14482,46765,0.0147,5,6,3
awesome_photographer_657,2022-10-10,14482,40224,0.0106,8,8,1
awesome_photographer_657,2022-10-19,14482,64374,0.0659,3,0,2
awesome_photographer_657,2022-11-20,14482,77077,0.0961,9,7,1
awesome_photographer_657,2023-02-15,14482,1126,0.0314,3,4,4
awesome_photographer_657,2023-09-19,14482,37244,0.0332,6,0,4
awesome_photographer_657,2023-10-22,14482,9666,0.1133,5,1,1
awesome_photographer_657,2023-11-16,14482,18368,0.0458,9,12,1
clever_artist_682,2022-02-10,11739,72853,0.1183,7,11,3
clever_artist_682,2022-03-09,11739,62944,0.1084,4,18,3
clever_artist_682,2022-03-30,11739,75813,0.1212,8,15,4
clever_artist_682,2022-07-22,11739,45900,0.0939,4,15,3
clever_artist_682,2022-08-10,11739,90388,0.1072,0,1,0
clever_artist_682,2022-11-30,11739,97136,0.1037,0,8,4
clever_artist_682,2023-05-29,11739,32259,0.0428,3,6,3
clever_artist_682,2023-08-21,11739,86371,0.0757,5,7,2
clever_artist_682,2023-09-14,11739,94905,0.0607,8,0,0
clever_artist_682,2023-09-29,11739,18569,0.0762,2,11,1
clever_artist_682,2023-10-16,11739,68028,0.083,2,10,1
clever_artist_682,2023-12-09,11739,89668,0.0339,8,18,1
clever_artist_996,2022-05-23,47964,80364,0.1193,1,18,2
clever_artist_996,2022-06-29,47964,88468,0.0633,0,9,1
clever_artist_996,2022-07-15,47964,64740,0.1307,9,1,0
clever_artist_996,2022-09-19,47964,18347,0.0289,4,1,4
clever_artist_996,2022-11-07,47964,52112,0.1255,3,2,2
clever_artist_996,2023-02-10,47964,56099,0.1292,3,17,4
clever_artist_996,2023-02-11,47964,25226,0.0343,8,14,4
clever_artist_996,2023-02-23,47964,90099,0.1452,3,12,3
clever_artist_996,2023-03-25,47964,62929,0.0802,5,4,3
clever_artist_996,2023-04-11,47964,92245,0.1358,3,13,0
clever_artist_996,2023-10-28,47964,73909,0.1466,1,2,1
clever_artist_996,2023-12-03,47964,95031,0.0397,7,9,2
clever_explorer_46,2022-01-17,5184,94623,0.0705,2,16,3
clever_explorer_46,2022-01-22,5184,39158,0.076,0,11,1
clever_explorer_46,2022-07-11,5184,4093,0.0284,1,14,3
clever_explorer_46,2022-07-15,5184,28083,0.0134,3,2,3
clever_explorer_46,2022-08-30,5184,15288,0.0243,9,1,1
clever_explorer_46,2022-10-05,5184,24821,0.1463,7,17,1
clever_explorer_46,2022-11-20,5184,76932,0.0518,8,6,4
clever_explorer_46,2023-02-05,5184,6626,0.0673,2,4,2
clever_explorer_46,2023-04-19,5184,6776,0.0228,7,13,0
clever_explorer_46,2023-04-29,5184,28082,0.1057,0,5,2
clever_explorer_46,2023-06-08,5184,29602,0.145,4,14,4
clever_explorer_46,2023-12-06,5184,2980,0.0381,5,14,1
clever_influencer_135,2022-01-31,47598,57882,0.0348,2,9,1
clever_influencer_135,2022-07-23,47598,16848,0.0875,3,4,4
clever_influencer_135,2022-11-21,47598,92369,0.0654,5,10,2
clever_influencer_135,2023-01-23,47598,92668,0.1453,4,13,3
clever_influencer_135,2023-01-27,47598,54161,0.136,5,14,4
clever_influencer_135,2023-03-10,47598,59478,0.1243,7,2,4
clever_influencer_135,2023-03-16,47598,37575,0.0577,3,16,4
clever_influencer_135,2023-05-01,47598,6498,0.1274,1,12,4
clever_influencer_135,2023-07-30,47598,71188,0.0638,4,2,2
clever_influencer_135,2023-09-17,47598,86376,0.0913,6,3,2
clever_influencer_135,2023-09-20,47598,72675,0.0864,5,3,1
clever_influencer_135,2023-11-19,47598,9036,0.0764,4,9,3
clever_influencer_235,2022-02-06,25659,49845,0.1159,6,17,3
clever_influencer_235,2022-02-07,25659,72719,0.0892,7,7,1
clever_influencer_235,2022-04-24,25659,99875,0.0351,8,1,3
clever_influencer_235,2022-05-04,25659,85082,0.1255,7,12,4
clever_influencer_235,2022-06-25,25659,3469,0.0365,9,3,2
clever_influencer_235,2022-09-08,25659,52756,0.1076,8,12,2
clever_influencer_235,2022-11-12,25659,61461,0.0557,6,1,4
clever_influencer_235,2022-11-24,25659,20623,0.0443,0,5,2
clever_influencer_235,2023-03-30,25659,3719,0.0569,6,9,1
clever_influencer_235,2023-08-16,25659,48517,0.0126,2,15,2
clever_influencer_235,2023-08-25,25659,75553,0.0752,4,10,4
clever_influencer_235,2023-11-19,25659,13987,0.0113,8,16,1
clever_traveler_335,2022-05-27,15808,13183,0.1291,2,19,0
clever_traveler_335,2022-05-28,15808,54351,0.0949,0,7,3
clever_traveler_335,2022-12-04,15808,71271,0.0896,6,2,0
clever_traveler_335,2022-12-12,15808,21932,0.1361,1,0,3
clever_traveler_335,2023-02-07,15808,17371,0.0842,9,15,0
clever_traveler_335,2023-05-04,15808,78505,0.1069,1,13,1
clever_traveler_335,2023-05-26,15808,43642,0.1116,6,8,0
clever_traveler_335,2023-07-05,15808,59871,0.1009,4,15,3
clever_traveler_335,2023-10-02,15808,39467,0.0432,8,3,0
clever_traveler_335,2023-10-03,15808,75290,0.1349,2,13,4
clever_traveler_335,2023-10-22,15808,31306,0.042,8,17,1
clever_traveler_335,2023-12-12,15808,83018,0.1463,2,15,0
cool_adventurer_118,2022-04-22,20800,33252,0.0683,4,8,0
cool_adventurer_118,2022-05-27,20800,17964,0.0649,0,19,4
cool_adventurer_118,2022-09-28,20800,87511,0.1363,2,13,0
cool_adventurer_118,2023-01-03,20800,62250,0.0822,7,9,3
cool_adventurer_118,2023-02-25,20800,91421,0.0927,5,3,4
cool_adventurer_118,2023-04-20,20800,24064,0.0454,9,17,4
cool_adventurer_118,2023-05-09,20800,78787,0.0534,2,14,3
cool_adventurer_118,2023-05-20,20800,27564,0.1163,2,3,0
cool_adventurer_118,2023-07-07,20800,16523,0.1071,7,7,4
cool_adventurer_118,2023-07-12,20800,78116,0.0712,6,6,4
cool_adventurer_118,2023-09-07,20800,62240,0.1462,5,5,4
cool_adventurer_118,2023-12-08,20800,46046,0.0862,0,15,2
cool_adventurer_126,2022-02-27,49385,72726,0.0981,2,19,0
cool_adventurer_126,2022-03-21,49385,57178,0.1116,2,5,1
cool_adventurer_126,2022-05-29,49385,56284,0.1239,0,8,0
cool_adventurer_126,2022-06-22,49385,21159,0.0735,4,8,3
cool_adventurer_126,2022-07-22,49385,9415,0.1479,4,0,0
cool_adventurer_126,2022-08-01,49385,85791,0.1327,8,1,1
cool_adventurer_126,2022-08-15,49385,81642,0.0878,0,4,4
cool_adventurer_126,2022-08-17,49385,21384,0.0756,4,16,4
cool_adventurer_126,2023-07-10,49385,8114,0.0493,0,2,0
cool_adventurer_126,2023-11-03,49385,85665,0.0421,7,3,1
cool_adventurer_126,2023-11-07,49385,41943,0.0206,2,0,4
cool_adventurer_126,2023-11-16,49385,24959,0.0968,7,5,3
cool_artist_135,2022-01-19,376,62202,0.1007,8,12,4
cool_artist_135,2022-02-26,376,47092,0.1034,5,1,1
cool_artist_135,2022-06-12,376,29454,0.0416,7,6,4
cool_artist_135,2022-07-13,376,87156,0.1155,4,0,4
cool_artist_135,2022-07-23,376,67624,0.0578,7,16,2
cool_artist_135,2022-10-13,376,60766,0.1279,1,7,0
cool_artist_135,2022-10-30,376,69487,0.051,1,6,2
cool_artist_135,2023-01-05,376,81905,0.125,5,16,1
cool_artist_135,2023-07-01,376,20810,0.0869,3,5,2
cool_artist_135,2023-10-26,376,55189,0.0492,7,8,1
cool_artist_135,2023-11-12,376,21131,0.108,4,8,0
cool_artist_135,2023-11-27,376,85050,0.0832,1,12,4
cool_influencer_661,2022-04-11,1416,28364,0.1251,8,12,1
cool_influencer_661,2022-08-15,1416,37021,0.0473,2,2,0
cool_influencer_661,2022-08-24,1416,86179,0.0657,8,3,1
cool_influencer_661,2022-10-30,1416,27672,0.0256,2,12,0
cool_influencer_661,2022-10-31,1416,77396,0.1156,5,0,3
cool_influencer_661,2022-12-21,1416,61948,0.0502,5,0,3
cool_influencer_661,2023-03-31,1416,44791,0.1182,0,19,3
cool_influencer_661,2023-05-11,1416,62997,0.0439,9,11,4
cool_influencer_661,2023-05-17,1416,21808,0.1318,1,15,0
cool_influencer_661,2023-06-24,1416,48377,0.1132,1,8,3
cool_influencer_661,2023-07-07,1416,86140,0.1055,5,11,3
cool_influencer_661,2023-10-20,1416,40779,0.1428,5,1,0
cool_influencer_744,2022-01-25,32407,2324,0.1155,0,6,0
cool_influencer_744,2022-03-10,32407,51343,0.0202,0,5,4
cool_influencer_744,2022-04-09,32407,89092,0.0219,1,1,4
cool_influencer_744,2022-05-24,32407,49136,0.1166,1,14,3
cool_influencer_744,2022-05-24,32407,34591,0.084,8,16,0
cool_influencer_744,2022-05-31,32407,40298,0.0917,8,6,0
cool_influencer_744,2023-01-02,32407,10348,0.1132,6,13,1
cool_influencer_744,2023-01-31,32407,27432,0.1333,2,7,4
cool_influencer_744,2023-04-14,32407,27790,0.0694,5,18,4
cool_influencer_744,2023-04-29,32407,87188,0.0116,9,18,2
cool_influencer_744,2023-05-21,32407,90780,0.0792,8,6,4
cool_influencer_744,2023-07-19,32407,58799,0.0265,9,19,3
cool_photographer_292,2022-02-18,30846,94848,0.0317,1,1,2
cool_photographer_292,2022-07-11,30846,88922,0.0573,7,13,3
cool_photographer_292,2022-08-14,30846,19589,0.1436,0,11,3
cool_photographer_292,2022-10-04,30846,33635,0.0122,4,5,2
cool_photographer_292,2022-10-11,30846,27641,0.088,4,0,2
cool_photographer_292,2023-03-29,30846,11729,0.1328,6,1,2
cool_photographer_292,2023-04-26,30846,73991,0.104,5,2,1
cool_photographer_292,2023-05-27,30846,71313,0.1252,5,16,3
cool_photographer_292,2023-05-31,30846,30592,0.0956,9,2,1
cool_photographer_292,2023-07-01,30846,71316,0.0372,9,6,0
cool_photographer_292,2023-09-01,30846,67235,0.1294,7,16,4
cool_photographer_292,2023-10-21,30846,79069,0.0603,0,7,0
cool_traveler_331,2022-01-10,20122,50812,0.0823,4,10,2
cool_traveler_331,2022-06-04,20122,5956,0.089,0,17,4
cool_traveler_331,2022-06-22,20122,27536,0.1431,5,1,4
cool_traveler_331,2022-09-04,20122,51574,0.0862,3,9,3
cool_traveler_331,2022-09-22,20122,67668,0.0594,9,18,2
cool_traveler_331,2022-12-15,20122,52313,0.1363,1,3,0
cool_traveler_331,2023-03-14,20122,46607,0.0661,6,6,1
cool_traveler_331,2023-03-27,20122,99134,0.0808,9,12,3
cool_traveler_331,2023-04-01,20122,86663,0.0818,1,18,0
cool_traveler_331,2023-08-26,20122,10171,0.0227,6,16,2
cool_traveler_331,2023-09-05,20122,21058,0.0486,2,2,0
cool_traveler_331,2023-10-15,20122,35681,0.1439,8,8,4
cool_traveler_785,2022-10-09,12299,2917,0.0316,0,13,4
cool_traveler_785,2022-11-11,12299,35387,0.0456,1,12,1
cool_traveler_785,2022-11-16,12299,48362,0.0173,3,12,2
cool_traveler_785,2023-01-04,12299,78149,0.0361,0,5,3
cool_traveler_785,2023-01-12,12299,94070,0.076,4,8,0
cool_traveler_785,2023-03-01,12299,85471,0.1112,3,14,0
cool_traveler_785,2023-03-19,12299,88958,0.0868,1,9,4
cool_traveler_785,2023-06-02,12299,43101,0.1095,4,5,1
cool_traveler_785,2023-07-08,12299,42427,0.1457,4,3,1
cool_traveler_785,2023-08-18,12299,25818,0.0126,7,8,2
cool_traveler_785,2023-09-05,12299,80239,0.0767,8,1,2
cool_traveler_785,2023-11-23,12299,37976,0.0842,3,0,3
creative_artist_113,2022-05-14,11967,90388,0.0487,9,9,2
creative_artist_113,2022-06-24,11967,22607,0.142,6,11,1
creative_artist_113,2023-01-26,11967,55254,0.0329,4,7,3
creative_artist_113,2023-02-25,11967,47169,0.0374,8,16,2
creative_artist_113,2023-05-16,11967,33983,0.1115,0,16,3
creative_artist_113,2023-05-17,11967,53870,0.1331,4,3,4
creative_artist_113,2023-10-27,11967,37081,0.1066,8,14,0
creative_artist_113,2023-11-05,11967,62215,0.0206,4,19,1
creative_artist_113,2023-11-13,11967,63522,0.0524,8,7,4
creative_artist_113,2023-11-24,11967,89839,0.1196,2,8,2
creative_artist_113,2023-11-29,11967,62240,0.062,0,6,3
creative_artist_113,2023-11-30,11967,93769,0.0945,2,8,4
creative_artist_428,2022-04-05,28353,42832,0.1151,5,7,2
creative_artist_428,2022-05-17,28353,6408,0.0847,9,19,4
creative_artist_428,2022-08-24,28353,74340,0.0522,1,7,2
creative_artist_428,2022-10-23,28353,41631,0.0803,3,12,3
creative_artist_428,2022-11-14,28353,15060,0.0924,9,3,0
creative_artist_428,2022-11-30,28353,20096,0.0598,6,14,0
creative_artist_428,2023-01-11,28353,37455,0.0421,6,1,4
creative_artist_428,2023-04-04,28353,97646,0.1123,6,18,2
creative_artist_428,2023-05-28,28353,47197,0.125,4,9,0
creative_artist_428,2023-07-01,28353,20029,0.11,4,0,3
creative_artist_428,2023-08-04,28353,20282,0.1031,2,4,4
creative_artist_428,2023-08-11,28353,11789,0.1153,6,3,4
creative_artist_621,2022-07-01,42921,35742,0.1369,5,6,2
creative_artist_621,2022-07-07,42921,16892,0.0845,1,10,0
creative_artist_621,2022-12-30,42921,60063,0.0165,8,12,3
creative_artist_621,2023-02-12,42921,63032,0.1473,9,6,0
creative_artist_621,2023-06-27,42921,51601,0.1259,7,14,4
creative_artist_621,2023-07-02,42921,88896,0.1426,0,18,2
creative_artist_621,2023-07-23,42921,8927,0.0868,0,6,1
creative_artist_621,2023-08-19,42921,21644,0.1474,7,13,0
creative_artist_621,2023-09-10,42921,56718,0.1091,1,10,0
creative_artist_621,2023-10-26,42921,35521,0.0368,1,4,2
creative_artist_621,2023-11-17,42921,8896,0.1187,7,9,1
creative_artist_621,2023-12-26,42921,8345,0.1108,8,8,0
creative_creator_570,2022-04-29,32225,38643,0.1386,6,6,0
creative_creator_570,2022-05-29,32225,14057,0.0284,8,12,1
creative_creator_570,2022-06-18,32225,71119,0.0705,1,8,0
creative_creator_570,2022-07-09,32225,16997,0.1279,1,12,4
creative_creator_570,2022-08-05,32225,3461,0.14,9,17,3
creative_creator_570,2023-01-05,32225,95463,0.0863,7,13,3
creative_creator_570,2023-01-13,32225,62332,0.05,2,13,0
creative_creator_570,2023-05-03,32225,30725,0.1323,2,18,4
creative_creator_570,2023-08-13,32225,40071,0.1147,1,12,4
creative_creator_570,2023-09-09,32225,46838,0.0255,1,10,1
creative_creator_570,2023-10-14,32225,68260,0.1141,5,10,4
creative_creator_570,2023-11-07,32225,47486,0.1277,3,17,2
creative_photographer_279,2022-02-22,32706,68214,0.1158,4,6,4
creative_photographer_279,2022-08-05,32706,94426,0.0326,3,12,2
creative_photographer_279,2022-09-09,32706,53256,0.0189,7,11,1
creative_photographer_279,2022-09-28,32706,49984,0.1482,8,14,4
creative_photographer_279,2022-10-23,32706,9110,0.1099,2,0,2
creative_photographer_279,2022-12-04,32706,55268,0.0812,6,16,3
creative_photographer_279,2023-04-01,32706,3695,0.0108,7,0,3
creative_photographer_279,2023-04-07,32706,62858,0.118,2,16,2
creative_photographer_279,2023-12-03,32706,85651,0.0993,6,4,2
creative_photographer_279,2023-12-21,32706,24419,0.0251,6,8,1
creative_photographer_279,2023-12-26,32706,99806,0.1179,0,4,1
creative_photographer_279,2023-12-28,32706,53251,0.1308,4,9,1
creative_photographer_450,2022-02-18,10432,67262,0.0157,8,13,4
creative_photographer_450,2022-05-16,10432,17715,0.0212,7,19,0
creative_photographer_450,2022-05-22,10432,5648,0.1245,8,4,0
creative_photographer_450,2022-07-09,10432,98938,0.0935,0,3,1
creative_photographer_450,2022-10-18,10432,50334,0.1324,4,18,2
creative_photographer_450,2022-10-29,10432,70569,0.1031,3,17,1
creative_photographer_450,2023-02-28,10432,66333,0.1404,0,9,2
creative_photographer_450,2023-03-08,10432,60518,0.0485,2,10,4
creative_photographer_450,2023-09-13,10432,97038,0.1224,3,0,1
creative_photographer_450,2023-10-15,10432,73124,0.0533,7,12,3
creative_photographer_450,2023-11-20,10432,9210,0.0675,0,7,3
creative_photographer_450,2023-12-02,10432,4321,0.111,9,6,3
creative_traveler_650,2022-03-06,1467,92055,0.0869,3,14,2
creative_traveler_650,2022-03-17,1467,59348,0.1251,1,11,2
creative_traveler_650,2022-05-23,1467,46379,0.1408,3,10,2
creative_traveler_650,2022-11-01,1467,24171,0.1252,1,16,4
creative_traveler_650,2023-02-21,1467,55691,0.1105,2,7,1
creative_traveler_650,2023-03-31,1467,80973,0.0202,0,2,3
creative_traveler_650,2023-04-18,1467,43652,0.1224,4,19,2
creative_traveler_650,2023-08-24,1467,26537,0.0749,2,7,1
creative_traveler_650,2023-08-28,1467,47413,0.078,5,18,1
creative_traveler_650,2023-10-17,1467,82889,0.0837,9,11,4
creative_traveler_650,2023-12-12,1467,88163,0.1437,6,15,4
creative_traveler_650,2023-12-26,1467,93059,0.0136,2,7,1
digital_creator_538,2022-01-22,1733,24648,0.0647,1,2,3
digital_creator_538,2022-02-26,1733,7852,0.145,1,10,2
digital_creator_538,2022-03-07,1733,50159,0.0502,7,11,1
digital_creator_538,2022-04-08,1733,8239,0.1217,8,3,4
digital_creator_538,2022-04-22,1733,27390,0.1251,2,5,3
digital_creator_538,2022-05-24,1733,7971,0.1074,7,17,1
digital_creator_538,2022-07-17,1733,68263,0.1212,5,9,2
digital_creator_538,2023-05-09,1733,75071,0.1202,2,6,3
digital_creator_538,2023-05-29,1733,40961,0.0881,8,7,1
digital_creator_538,2023-06-01,1733,15939,0.0458,7,14,3
digital_creator_538,2023-07-31,1733,31933,0.0125,3,13,3
digital_creator_538,2023-09-02,1733,13819,0.0863,0,6,4
digital_influencer_664,2022-01-16,25164,96402,0.0576,1,2,4
digital_influencer_664,2022-02-16,25164,38265,0.0831,1,19,2
digital_influencer_664,2022-03-27,25164,67081,0.013,1,2,1
digital_influencer_664,2022-09-07,25164,96505,0.1415,6,12,4
digital_influencer_664,2022-10-15,25164,36435,0.0269,6,16,2
digital_influencer_664,2022-12-01,25164,34039,0.1323,4,11,0
digital_influencer_664,2023-01-26,25164,46084,0.1174,2,6,3
digital_influencer_664,2023-02-05,25164,95223,0.0698,8,12,1
digital_influencer_664,2023-06-03,25164,3050,0.0754,4,0,0
digital_influencer_664,2023-06-22,25164,42786,0.1422,8,18,1
digital_influencer_664,2023-09-21,25164,25574,0.069,8,9,0
digital_influencer_664,2023-12-12,25164,45547,0.1207,6,11,0
digital_influencer_941,2022-01-21,45450,84194,0.0257,7,14,3
digital_influencer_941,2022-04-10,45450,87213,0.0352,3,0,2
digital_influencer_941,2022-07-05,45450,45965,0.0789,6,4,4
digital_influencer_941,2022-08-25,45450,24499,0.1089,3,7,2
digital_influencer_941,2022-09-03,45450,70350,0.0329,5,14,0
digital_influencer_941,2022-09-25,45450,53233,0.0203,7,3,4
digital_influencer_941,2023-01-06,45450,67061,0.146,6,9,3
digital_influencer_941,2023-06-04,45450,67504,0.0844,1,13,1
digital_influencer_941,2023-06-14,45450,86112,0.0948,5,19,3
digital_influencer_941,2023-07-06,45450,93464,0.1282,4,11,4
digital_influencer_941,2023-09-29,45450,14760,0.1183,8,1,2
digital_influencer_941,2023-10-05,45450,20816,0.0703,9,9,3
digital_photographer_587,2022-01-28,43789,94557,0.0406,7,14,2
digital_photographer_587,2022-11-27,43789,1854,0.049,0,1,1
digital_photographer_587,2022-12-06,43789,86616,0.1497,2,16,4
digital_photographer_587,2022-12-14,43789,53083,0.1477,0,5,4
digital_photographer_587,2023-04-18,43789,94384,0.0549,5,10,0
digital_photographer_587,2023-05-21,43789,53662,0.1166,9,5,3
digital_photographer_587,2023-07-10,43789,53733,0.1075,9,19,3
digital_photographer_587,2023-07-11,43789,67842,0.0698,6,0,0
digital_photographer_587,2023-07-28,43789,10474,0.011,3,12,0
digital_photographer_587,2023-09-12,43789,55384,0.0191,7,8,3
digital_photographer_587,2023-10-02,43789,47717,0.0303,0,0,2
digital_photographer_587,2023-10-08,43789,98504,0.0268,7,8,4
digital_traveler_671,2022-02-16,6516,49454,0.097,8,19,4
digital_traveler_671,2022-03-07,6516,87516,0.0865,6,1,3
digital_traveler_671,2022-06-05,6516,85866,0.1156,8,18,2
digital_traveler_671,2022-07-20,6516,50437,0.0165,4,3,0
digital_traveler_671,2022-09-05,6516,35518,0.0278,7,13,1
digital_traveler_671,2022-09-29,6516,87661,0.1039,1,18,0
digital_traveler_671,2022-10-16,6516,49781,0.1365,4,13,3
digital_traveler_671,2023-03-30,6516,5493,0.0406,8,18,3
digital_traveler_671,2023-04-28,6516,9787,0.0125,2,18,2
digital_traveler_671,2023-09-12,6516,99745,0.0818,3,0,2
digital_traveler_671,2023-10-13,6516,72906,0.1168,5,14,4
digital_traveler_671,2023-12-25,6516,51939,0.1031,0,6,0
happy_adventurer_326,2022-01-09,38950,82941,0.0733,3,5,1
happy_adventurer_326,2022-03-14,38950,96081,0.0714,2,8,3
happy_adventurer_326,2022-08-11,38950,71316,0.0355,9,18,3
happy_adventurer_326,2022-09-21,38950,79339,0.1129,9,19,4
happy_adventurer_326,2022-11-14,38950,44585,0.0937,3,1,3
happy_adventurer_326,2022-12-25,38950,2560,0.132,1,11,3
happy_adventurer_326,2023-01-05,38950,46500,0.0201,9,18,2
happy_adventurer_326,2023-02-20,38950,21049,0.0129,6,18,3
happy_adventurer_326,2023-07-07,38950,92194,0.101,2,4,0
happy_adventurer_326,2023-09-27,38950,27630,0.1025,3,14,2
happy_adventurer_326,2023-11-21,38950,81818,0.091,3,17,0
happy_adventurer_326,2023-12-17,38950,73541,0.1445,0,6,3
happy_artist_787,2022-02-25,39356,27715,0.0774,2,6,2
happy_artist_787,2022-03-24,39356,6542,0.0967,4,9,1
happy_artist_787,2022-04-09,39356,57532,0.0378,4,17,4
happy_artist_787,2022-05-29,39356,42424,0.0254,4,12,3
happy_artist_787,2022-06-05,39356,34361,0.0766,1,19,3
happy_artist_787,2022-09-10,39356,58022,0.073,1,4,3
happy_artist_787,2022-11-25,39356,90881,0.0278,4,19,4
happy_artist_787,2023-01-17,39356,44108,0.0961,6,7,0
happy_artist_787,2023-04-02,39356,7548,0.0127,6,1,2
happy_artist_787,2023-04-08,39356,77373,0.1449,6,4,4
happy_artist_787,2023-10-04,39356,42568,0.0813,2,6,3
happy_artist_787,2023-11-21,39356,13411,0.1287,3,19,3
happy_creator_63,2022-01-05,15438,55340,0.0232,5,13,3
happy_creator_63,2022-02-16,15438,10823,0.1299,9,18,1
happy_creator_63,2022-02-22,15438,46543,0.1408,1,15,0
happy_creator_63,2022-04-13,15438,44919,0.0237,3,4,3
happy_creator_63,2022-07-15,15438,63752,0.0751,4,6,3
happy_creator_63,2022-09-21,15438,67617,0.1381,8,11,4
happy_creator_63,2022-12-16,15438,98379,0.0163,4,9,4
happy_creator_63,2023-03-20,15438,87672,0.0658,1,9,2
happy_creator_63,2023-07-26,15438,54222,0.102,0,15,4
happy_creator_63,2023-09-05,15438,9308,0.0213,2,4,1
happy_creator_63,2023-09-12,15438,68215,0.0322,4,2,3
happy_creator_63,2023-10-18,15438,28663,0.0199,4,12,3
happy_influencer_709,2022-02-05,38567,89733,0.0731,8,15,1
happy_influencer_709,2022-03-14,38567,92878,0.1311,8,19,1
happy_influencer_709,2022-04-12,38567,5255,0.0856,4,11,2
happy_influencer_709,2022-06-16,38567,98543,0.0913,2,1,3
happy_influencer_709,2022-08-06,38567,73240,0.1265,5,8,3
happy_influencer_709,2022-10-15,38567,20201,0.0608,9,2,1
happy_influencer_709,2022-12-19,38567,21103,0.1214,0,15,3
happy_influencer_709,2022-12-19,38567,85328,0.0223,3,0,1
happy_influencer_709,2023-07-08,38567,74794,0.0846,5,7,1
happy_influencer_709,2023-09-13,38567,43828,0.0989,9,3,4
happy_influencer_709,2023-10-10,38567,66061,0.0323,4,15,3
happy_influencer_709,2023-11-07,38567,63711,0.0856,6,18,4
happy_influencer_891,2022-01-15,6039,95826,0.0653,2,1,0
happy_influencer_891,2022-05-02,6039,57746,0.1033,3,14,0
happy_influencer_891,2022-09-05,6039,93492,0.0838,0,16,2
happy_influencer_891,2022-10-04,6039,28691,0.0117,3,17,4
